uid,mass_avg_log1p,mass_var_log1p,light_element_fraction,heavy_element_fraction,en_atom_mean,en_atom_std,en_diff_mean_filled,en_diff_max_filled,en_diff_var_filled,en_diff_missing_flag,is_ionic_like_clean,gap_pbe_log1p,gap_pbe_near_zero_flag,alpha_el_mean_log1p,alpha_el_inplane_mean_log1p,alpha_el_out_of_plane_log1p,alpha_el_anisotropy_log1p,alpha_el_anisotropy_ratio,alpha_el_ratio_z_xy,alpha_el_xy_anisotropy_ratio,has_inversion_symmetry,is_janus_like_clean,is_janus_like_missing_flag,pointgroup__neg1,pointgroup__neg3,pointgroup__neg3m,pointgroup__neg4,pointgroup__neg42m,pointgroup__neg6m2,pointgroup__n_1,pointgroup__n_2,pointgroup__n_2_over_m,pointgroup__n_222,pointgroup__n_3,pointgroup__n_32,pointgroup__n_3m,pointgroup__n_4_over_mmm,pointgroup__n_422,pointgroup__n_6mm,pointgroup__m,pointgroup__mm2,pointgroup__mmm,layergroup__c2_over_m11,layergroup__c211,layergroup__c222,layergroup__cm11,layergroup__cm2e,layergroup__cm2m,layergroup__cmm2,layergroup__cmme,layergroup__cmmm,layergroup__pneg1,layergroup__pneg3,layergroup__pneg31m,layergroup__pneg3m1,layergroup__pneg4,layergroup__pneg42_1m,layergroup__pneg42m,layergroup__pneg4m2,layergroup__pneg62m,layergroup__pneg6m2,layergroup__p1,layergroup__p112,layergroup__p112_over_a,layergroup__p112_over_m,layergroup__p11a,layergroup__p11m,layergroup__p2_over_b11,layergroup__p2_over_m11,layergroup__p211,layergroup__p2_1_over_b11,layergroup__p2_1_over_m11,layergroup__p2_111,layergroup__p2_122,layergroup__p2_12_12,layergroup__p3,layergroup__p312,layergroup__p31m,layergroup__p3m1,layergroup__p4_over_mbm,layergroup__p4_over_mmm,layergroup__p4_over_nbm,layergroup__p4_over_nmm,layergroup__p42_12,layergroup__p6mm,layergroup__pb11,layergroup__pb2_1a,layergroup__pb2_1m,layergroup__pb2n,layergroup__pbma,layergroup__pm11,layergroup__pm2_1b,layergroup__pm2_1n,layergroup__pm2a,layergroup__pm2m,layergroup__pmam,layergroup__pman,layergroup__pmm2,layergroup__pmma,layergroup__pmmm,layergroup__pmmn
2BrNZr-3,4.138547502,7.056368953,0.333333333,0.333333333,2.443333333,0.787922726,1.14,1.71,0.562866667,0,1,0.899388826,0,1.114174215,1.334827656,0.433385419,1.180766774,1.102498469,0.193785103,0.0001706624819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrOSc-1,3.870221365,6.527424894,0.333333333,0,2.586666667,0.889244373,1.386666667,2.08,0.449422222,0,1,1.437510611,0,0.899895238,1.080711665,0.395067579,0.942945138,1.074133624,0.248865059,0.334929764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2BrOTl-1,4.616054074,8.719217965,0.333333333,0.333333333,2.673333333,0.770165927,1.213333333,1.82,0.307288889,0,1,0.699384271,0,1.211319373,1.449002702,0.442122369,1.322784895,1.167923506,0.170613428,0.186922941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2BrOY-1,4.1368132,6.960697202,0.333333333,0.333333333,2.54,0.953729521,1.48,2.22,0.5384,0,1,1.502187186,0,0.971322848,1.158826302,0.439496867,0.968604303,0.995631192,0.252460137,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrRhS-1,4.285304625,6.770667968,0.333333333,0.333333333,2.606666667,0.27824849,0.453333333,0.68,0.026755556,0,0,0.041873604,1,4.022678216,4.418918968,0.430774069,5.036465199,2.788032906,0.006565917,1.822281614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2BrRhS-2,4.285304625,6.770667968,0.333333333,0.333333333,2.606666667,0.27824849,0.453333333,0.68,0.026755556,0,0,0.695101985,0,1.450837787,1.743165034,0.314266229,1.692771814,1.357498444,0.078308073,0.215712268,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrRhSe-1,4.480305887,4.816890739,0,0.333333333,2.596666667,0.279563151,0.453333333,0.68,0.028955556,0,0,0.704609862,0,1.462720679,1.755785981,0.319966346,1.699902206,1.34835119,0.078755596,0.179705773,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrRhTe-1,4.648912712,5.940983949,0,0.666666667,2.446666667,0.370345184,0.573333333,0.86,0.082755556,0,0,0.685306708,0,1.494250437,1.789567494,0.332364269,1.730774445,1.344048132,0.079059857,0.161131039,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BrScSe-1,4.233289746,5.581093013,0,0,2.29,0.678576942,1.066666667,1.6,0.243622222,0,0,0.920357574,0,1.247814911,1.50061519,0.391555281,1.393509907,1.220017147,0.137548282,0.125581206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2BrScTe-1,4.444453553,7.046096102,0,0.333333333,2.14,0.65380935,1.066666667,1.6,0.144622222,0,0,0.43961735,0,1.474671178,1.760234711,0.392847543,1.680958432,1.297098353,0.099961023,0.138114299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
