sample_id,mass_avg,mass_min,mass_max,mass_var,atomic_number_mean,atomic_number_min,atomic_number_max,atomic_number_var,light_element_fraction,heavy_element_fraction,en_atom_mean,en_atom_std,en_diff_mean,en_diff_max,en_diff_var,is_ionic_like,group_mean,group_std,valence_proxy_mean,valence_proxy_max,valence_proxy_var,gap_pbe,alphax_el,alphay_el,alphaz_el,alpha_el_mean_diag,layergroup,pointgroup,has_inversion_symmetry,is_janus_like,has_out_of_plane_dipole
1ClBr3Hf4N4-1,87.09583333333332,14.007,178.49,4800.16204463889,36.5,7,72,742.4166666666666,0.4166666666666667,0.3333333333333333,2.4499999999999997,0.8148005891014071,0.9433333333333335,1.86,0.6607222222222222,1,12,5.715476066494082,5.333333333333333,7,1.5555555555555554,2.076112309219945,2.8801319641889,2.9514291402801343,0.4798836995455766,2.103814934671537,cmm2,mm2,0,1,1
1ClBr3S4Sc4-1,48.602166666666676,32.06,79.904,355.01208630555544,22.5,16,35,56.416666666666664,0.4166666666666667,0,2.316666666666666,0.7006584205033307,0.9633333333333333,1.8,0.37352222222222214,1,12,6.377042156569663,5.333333333333333,7,2.8888888888888893,2.135526905711136,2.8152100126467197,3.0125630593373858,0.46724105997346155,2.0983380439858554,pmm2,mm2,0,1,1
1IBr3Hf4N4-1,94.71666666666665,14.007,178.49,4651.841575888889,39.5,7,72,724.4166666666666,0.3333333333333333,0.4166666666666667,2.408333333333333,0.7898294471311863,0.92,1.74,0.4658666666666667,1,12,5.715476066494082,5.333333333333333,7,1.5555555555555556,2.041985417236857,3.0714460919400475,3.2449068874427813,0.5147243114715452,2.277025763618125,cmm2,mm2,0,1,1
1InAu3Br4O4-1,90.77850000000001,15.999,196.97,4770.734268416666,38.166666666666664,8,79,733.3055555555555,0.3333333333333333,0.3333333333333333,2.9166666666666665,0.4848252835357862,0.8999999999999999,1.66,0.1804,0,14.833333333333334,2.4438130497691968,7.333333333333333,11,5.5555555555555545,0.47515234062329137,2.612887664279192,3.556801499145231,0.5162074198596643,2.228632194428029,p112,2,0,0,1
1PtPd3Cl4O4-1,60.01133333333335,15.999,195.08,2905.518005222222,26.333333333333332,8,78,460.22222222222234,0.6666666666666666,0.3333333333333333,2.94,0.5221749387577563,0.7666666666666666,1.2399999999999998,0.18955555555555567,0,14.333333333333334,3.0912061651652345,7.666666666666667,10,2.8888888888888893,0.5588862773819416,5.901598490014343,5.268399152701128,0.42464722446802533,3.8648816223944986,p112,2,0,0,1
1ZrHf3Cl4N4-1,68.71016666666667,14.007,178.49,4421.367385972223,29.333333333333332,7,72,681.5555555555557,0.6666666666666666,0.3333333333333333,2.5025,0.8464447707913375,1.215,1.86,0.653025,1,12,5.715476066494082,5.333333333333333,7,1.5555555555555554,2.019526639461553,2.7809563751461805,2.8009959102777344,0.4411133591872886,2.0076885482037343,cmm2,mm2,0,1,1
1SeTa3F7-1,68.61881818181818,18.998,180.95,5017.966370330578,28.727272727272727,9,73,784.7438016528926,0.6363636363636364,0.2727272727272727,3.1736363636363634,1.101389805714685,1.6533333333333333,2.48,0.36575555555555556,1,13.636363636363637,5.296186059501639,6.363636363636363,7,0.7768595041322314,0.8945497919978345,1.2728780659018635,1.2734740595934462,0.26137629740785157,0.9359094743010538,p3m1,3m,0,1,1
1TeTa3F7-1,73.03963636363636,18.998,180.95,5304.932931504131,30.363636363636363,9,73,828.7768595041322,0.6363636363636364,0.36363636363636365,3.132727272727273,1.131733111078201,1.653333333333333,2.48,0.6147555555555555,1,13.636363636363637,5.296186059501639,6.363636363636363,7,0.7768595041322314,0.8603886173334843,1.384636121761517,1.3845972082561135,0.2933619164519721,1.0208650821565344,p3m1,3m,0,1,1
1CrMo3O8-1,38.98650000000001,15.999,95.95,1177.5974447499998,17.833333333333332,8,42,213.63888888888889,0.6666666666666666,0.25,2.9716666666666662,0.6740157433044291,1.1866666666666665,1.78,0.27742222222222207,1,12.666666666666666,4.714045207910316,6,6,0,0.6262153926157867,4.654939083281118,4.606241077835094,0.4062758442060643,3.222485335107425,pm2m,mm2,0,0,1
1CrMo3S8-1,49.69383333333334,32.06,95.95,742.6512883055556,23.166666666666668,16,42,122.97222222222221,0.6666666666666666,0.25,2.398333333333333,0.28571061505578604,0.6133333333333334,0.9200000000000002,0.04808888888888891,0,12.666666666666666,4.714045207910316,6,6,0,1.1843595924314,6.875493437353354,6.840648326741124,0.49800544278881875,4.738049068961098,pm2m,mm2,0,0,1
